iteration,episode,policy,value,entropy
0,-5.0,-5.5698532378301024e-05,1.251561613753438,-1.3859001472592354
1,-4.275862068965517,-0.00013447937089949846,0.6094785556197166,-1.3838282823562622
2,-4.092592592592593,-0.0010262288560625166,0.5977492295205593,-1.3824866525828838
3,-3.9873417721518987,-0.0009419167181476951,0.6141755189746618,-1.377058982849121
4,-3.9489795918367347,-0.0013680977863259614,0.602516908198595,-1.3675063662230968
5,-3.59,-0.0005337066831998527,0.6106394417583942,-1.3566657342016697
6,-3.45,0.0002598980499897152,0.587497441098094,-1.3341034315526485
7,-3.16,-0.0013253198994789273,0.5680423155426979,-1.353156439960003
8,-2.88,-0.0008373610326088965,0.5494238827377558,-1.3391067013144493
9,-2.33,-0.0027367627480998635,0.5494277235120535,-1.3365250639617443
10,-2.0,-0.0007889811677159742,0.5400471184402704,-1.323865182697773
11,-1.68,-0.0019692455243784934,0.5354839563369751,-1.3275827877223492
12,-1.16,0.00023907111608423293,0.5226160101592541,-1.3019104339182377
13,-0.7,-0.0012949085794389248,0.5363826733082533,-1.3171232119202614
14,-0.47,-0.001989506621612236,0.5471054632216692,-1.3125342689454556
15,-0.22,-0.0018188557005487382,0.5223069870844483,-1.304701741784811
16,0.0,-0.0015321981918532401,0.4969467092305422,-1.302160356193781
17,0.55,-0.0023996722156880423,0.49575921054929495,-1.2846229709684849
18,0.88,-0.0018113090773113072,0.48101215343922377,-1.2605605646967888
19,1.32,-0.003270403336500749,0.4926771679893136,-1.2698212899267673
20,1.55,-0.0023091229668352753,0.4898772770538926,-1.2424373254179955
21,2.06,-0.002323276668903418,0.48432490043342113,-1.231483705341816
22,2.29,-0.0017893615877255797,0.473761860281229,-1.2113376930356026
23,2.58,-0.003679852045024745,0.45786405820399523,-1.2240102104842663
24,2.6,-0.0032692931999918073,0.47591822780668736,-1.221306324005127
25,2.64,-0.004691459878813475,0.48862268030643463,-1.217161901295185
26,2.7,-0.003789787500863895,0.5256805792450905,-1.2028935886919498
27,2.77,-0.005163879439351149,0.5281270779669285,-1.1737486869096756
28,2.49,-0.003867411141982302,0.5094464626163244,-1.1467688158154488
29,2.74,-0.0031413549440912902,0.5048305131494999,-1.13221824914217
30,2.72,-0.004852201760513708,0.5179700795561075,-1.1776026226580143
31,2.68,-0.005044437886681408,0.5262539070099592,-1.1581850834190845
32,3.1,-0.006157862793770619,0.5165706751868129,-1.1704142913222313
33,3.24,-0.0052573265274986625,0.5199408065527678,-1.1703315526247025
34,3.17,-0.007814510667230934,0.567856565117836,-1.193651657551527
35,3.32,-0.00659732693748083,0.540405398234725,-1.1835353076457977
36,3.89,-0.008115959528367966,0.535211892798543,-1.1641522571444511
37,4.04,-0.006932405791303609,0.5500564407557249,-1.1530544273555279
38,3.96,-0.006504588760435581,0.5796536486595869,-1.1555723696947098
39,4.03,-0.006634401332121342,0.6064457595348358,-1.1565526276826859
40,3.76,-0.0061695100157521665,0.6178707554936409,-1.1568440943956375
41,3.54,-0.006760368793038651,0.6131697241216898,-1.1593674346804619
42,3.79,-0.00641966238617897,0.6119384169578552,-1.1423631496727467
43,4.09,-0.008061148691922426,0.6200408227741718,-1.1451642848551273
44,3.91,-0.007249305461300537,0.6151482369750738,-1.129986483603716
45,3.9,-0.009101040952373296,0.6280368287116289,-1.130957007408142
46,4.0,-0.00956679682713002,0.6210140343755484,-1.1462286077439785
47,4.29,-0.008482313220156357,0.6015606634318829,-1.1337158530950546
48,4.22,-0.009640437958296388,0.609596049413085,-1.1388337686657906
49,4.46,-0.011751990037737414,0.6356254406273365,-1.11573750898242
50,4.62,-0.009719499503262341,0.6233143676072359,-1.0996396206319332
51,4.86,-0.00981191941536963,0.6338679119944572,-1.108598817139864
52,4.75,-0.010406927118310705,0.6211159229278564,-1.1019064411520958
53,4.73,-0.013011646326049231,0.6282587889581919,-1.103411041200161
54,4.65,-0.010100056446390226,0.620030514895916,-1.11162893101573
55,4.69,-0.010086391746881418,0.634182021021843,-1.097625870257616
56,4.75,-0.012611818179721013,0.6322428714483976,-1.1213760189712048
57,5.28,-0.010983759129885584,0.6509807892143726,-1.0833193361759186
58,5.18,-0.013031292794039473,0.6536510400474072,-1.1121337413787842
59,5.36,-0.009012907947180793,0.6616859640926123,-1.1033283434808254
60,5.41,-0.01387401029933244,0.6706148087978363,-1.094837199896574
61,5.96,-0.012525882280897349,0.6783571150153875,-1.0790417715907097
62,6.16,-0.013697263522772118,0.6692956127226353,-1.0718554183840752
63,6.45,-0.013481572968885303,0.6727869398891926,-1.0636485293507576
64,6.48,-0.011103603843366727,0.6866986658424139,-1.0689396224915981
65,7.22,-0.014402882137801498,0.6785598360002041,-1.0712095759809017
66,7.3,-0.015165736724156886,0.6743158735334873,-1.0732240825891495
67,7.74,-0.012174334449809976,0.6703041400760412,-1.0690473169088364
68,7.91,-0.012977278456673957,0.6800430379807949,-1.0645772628486156
69,8.14,-0.01164025507750921,0.6800044253468513,-1.0467017218470573
70,8.2,-0.0160940383648267,0.672536339610815,-1.0486193634569645
71,8.08,-0.015445431490661576,0.6789750996977091,-1.0482987500727177
72,7.96,-0.014783892940613441,0.6900091543793678,-1.0382056459784508
73,7.7,-0.010872959857806563,0.6894988436251879,-1.0289802122861147
74,7.9,-0.013531359320040792,0.6850174050778151,-1.029669314622879
75,7.99,-0.014909321849700063,0.6800334006547928,-1.008577074855566
76,8.19,-0.014871510647935793,0.686748081818223,-0.9976675231009722
77,8.08,-0.011406979436287656,0.6868902985006571,-1.0095972809940577
78,8.22,-0.010322330723283812,0.6688456926494837,-0.998408168554306
79,7.93,-0.012571044368087314,0.6826084814965725,-0.9828164055943489
80,7.88,-0.011887786677107215,0.6801415719091892,-0.9884406886994839
81,7.98,-0.014533887850120664,0.6720738839358091,-0.9869004692882299
82,8.06,-0.012967349524842575,0.674071965739131,-0.9757858365774155
83,8.12,-0.012638857355341315,0.6779361311346292,-0.9764355793595314
84,8.72,-0.016217927943216637,0.6715083718299866,-0.9706276282668114
85,8.97,-0.014453921583481133,0.6824477761983871,-0.9739965368062258
86,9.11,-0.013370408152695745,0.6608302164822817,-0.9370287079364061
87,9.21,-0.014680846477858722,0.6915325652807951,-0.9596810527145863
88,9.45,-0.01460078512900509,0.6796121690422297,-0.9668272454291582
89,9.6,-0.014594449021387845,0.6811261884868145,-0.9753411617130041
90,9.9,-0.013184426381485537,0.6958699226379395,-0.956601832062006
91,10.46,-0.012614631006726995,0.7065790742635727,-0.9721149671822786
92,10.7,-0.015129666862776503,0.684151278808713,-0.9698432255536318
93,11.3,-0.01313807867700234,0.6794956680387259,-0.9398984033614397
94,11.32,-0.013279609367600642,0.6908735018223524,-0.9569056741893291
95,11.72,-0.014340011810418218,0.6736262068152428,-0.9598746728152037
96,11.81,-0.015046510947286151,0.7006385549902916,-0.9423077683895826
97,12.1,-0.013024275685893372,0.6585977338254452,-0.9260651972144842
98,12.62,-0.011849700647871941,0.6557384375482798,-0.9173315111547709
99,12.54,-0.013829926116159186,0.6711243744939566,-0.9026187993586063
100,12.74,-0.011903143080417067,0.6377392299473286,-0.8974016290158033
101,12.96,-0.012756954383803532,0.6804172266274691,-0.9099964499473572
102,13.17,-0.011903964856173843,0.6592463441193104,-0.8975538890808821
103,13.3,-0.012382657179841772,0.6636985279619694,-0.9141148366034031
104,13.4,-0.011414965643780306,0.6341737601906061,-0.8815229441970587
105,13.54,-0.013839599414495751,0.6472800932824612,-0.8661994282156229
106,13.61,-0.011086378217441961,0.6796717941761017,-0.9063219148665667
107,13.63,-0.013913519214838743,0.653070654720068,-0.9170044958591461
108,13.73,-0.013788575131911784,0.6608075555413961,-0.8689465187489986
109,13.73,-0.01077927034930326,0.6716807018965483,-0.8969684336334467
110,13.66,-0.013110249274177477,0.612604733556509,-0.8733153212815523
111,13.71,-0.013620682992041111,0.6598850600421429,-0.8979515582323074
112,13.82,-0.015574198187096044,0.6956868749111891,-0.9013854376971722
113,14.34,-0.014342506940010935,0.6753281038254499,-0.903414785861969
114,14.61,-0.01522563854814507,0.6468766126781702,-0.8922986313700676
115,14.8,-0.014476637879852206,0.6195916961878538,-0.8593205492943525
116,15.0,-0.014038181412615813,0.6260141506791115,-0.8546445909887552
117,15.09,-0.013516414794139564,0.6496064234524965,-0.8612231686711311
118,15.13,-0.013443768650176935,0.669070553034544,-0.8510103113949299
119,15.29,-0.014785994673729874,0.6780623104423285,-0.8576927278190851
120,15.56,-0.014505001250654459,0.6135648749768734,-0.8571329358965158
121,15.9,-0.015076961979502812,0.6186081506311893,-0.8339271880686283
122,15.99,-0.01485704850347247,0.6378968823701143,-0.8269682861864567
123,16.21,-0.014156484452541918,0.6222705282270908,-0.789027139544487
124,16.21,-0.013256928490591235,0.622384250164032,-0.7901026532053947
125,16.46,-0.014616190412198193,0.6947448067367077,-0.8238913752138615
126,16.76,-0.013614476862130687,0.6278132367879152,-0.7931431196630001
127,16.86,-0.013807627852656879,0.6059531066566706,-0.7726714592427015
128,17.34,-0.013774360064417124,0.6375466082245111,-0.7756693549454212
129,17.58,-0.015495278727030382,0.6141848210245371,-0.7778325714170933
130,17.63,-0.014196315256413072,0.6212776582688093,-0.7555847018957138
131,17.73,-0.012813060777261853,0.6552541814744473,-0.7692131232470274
132,18.03,-0.01322882084059529,0.6713211499154568,-0.7671055663377047
133,18.13,-0.014332717604702339,0.6400647945702076,-0.7334268968552351
134,18.24,-0.011743488626962062,0.6448819674551487,-0.7416830975562334
135,18.41,-0.013604657782707363,0.6711888574063778,-0.7493537236005068
136,19.08,-0.011444228061009198,0.668166097253561,-0.718343660235405
137,18.92,-0.01271062798332423,0.6501159686595201,-0.7267056126147509
138,19.1,-0.010162107180804014,0.6784327272325754,-0.7701156809926033
139,19.25,-0.011476355139166117,0.6907683853060007,-0.7519066594541073
140,19.39,-0.014118457533186302,0.6597083453088999,-0.7272816114127636
141,19.4,-0.01246482235728763,0.6513683591037989,-0.7160455211997032
142,19.8,-0.012058332038577646,0.6503099743276834,-0.7387436348944902
143,20.02,-0.014134619807009585,0.6632904838770628,-0.7063851114362478
144,20.52,-0.010493363806745037,0.6692451126873493,-0.6915624141693115
145,20.64,-0.01047482478315942,0.6846182774752378,-0.7180675845593214
146,20.78,-0.013288918547914363,0.6838115435093641,-0.7038137763738632
147,20.92,-0.012776360963471234,0.6535661984235048,-0.647769981995225
148,20.79,-0.01186330450582318,0.678173802793026,-0.655570337548852
149,21.18,-0.01255017401126679,0.6762231551110744,-0.6439052540808916
150,21.25,-0.009161093243164942,0.6619748119264841,-0.6271729990839958
151,21.29,-0.012088448158465326,0.6619448717683554,-0.6365437470376492
152,21.18,-0.01084484314196743,0.6691024526953697,-0.6231399308890104
153,21.48,-0.012583141477080062,0.6544532310217619,-0.6370866931974888
154,22.01,-0.010858829162316397,0.6662849523127079,-0.6445339452475309
155,22.08,-0.010766353167127818,0.6449438333511353,-0.638889841735363
156,22.36,-0.009914424503222108,0.6839729249477386,-0.6321309208869934
157,22.6,-0.012877468048827723,0.6898784339427948,-0.620769327506423
158,22.85,-0.01266285078600049,0.6642129812389612,-0.6112935394048691
159,23.03,-0.011594548341236077,0.6834223605692387,-0.6047464609146118
160,23.11,-0.01049011992290616,0.6682865489274263,-0.6210559234023094
161,23.58,-0.010869895413634367,0.672985378652811,-0.6147419381886721
162,24.05,-0.010381979023804888,0.6707210764288902,-0.6070498451590538
163,24.26,-0.00824453667155467,0.6494628861546516,-0.608616791665554
164,24.31,-0.010220405165455304,0.6463074255734682,-0.6120757032185793
165,24.2,-0.009775358252227306,0.653462216258049,-0.6067836992442608
166,24.1,-0.011082240409450606,0.6359765101224184,-0.600325632840395
167,24.04,-0.013411329127848148,0.6814531721174717,-0.6075133122503757
168,24.69,-0.00887656377744861,0.6703972611576319,-0.596043050289154
169,24.69,-0.00820643977203872,0.6547837387770414,-0.5927700586616993
170,24.95,-0.011282661173027009,0.6406117770820856,-0.6011406928300858
171,25.59,-0.01150829452672042,0.6651221513748169,-0.588838916271925
172,25.93,-0.007052211483824067,0.6431515850126743,-0.5800828598439693
173,26.2,-0.00669878457847517,0.6537439189851284,-0.5488710608333349
174,26.2,-0.009045303668244742,0.6365688741207123,-0.5795859862118959
175,26.34,-0.009184922615531832,0.6636840719729662,-0.5839583426713943
176,27.0,-0.010326796880690381,0.626403333619237,-0.5369679611176252
177,26.91,-0.00916449299256783,0.6685773208737373,-0.543468926101923
178,26.84,-0.012136623787228018,0.6223316825926304,-0.5340553754940629
179,26.87,-0.008295543564599939,0.647340128198266,-0.514996281825006
180,26.64,-0.01082420616876334,0.6374494396150112,-0.5337663469836116
181,26.77,-0.009972417028620839,0.664750387892127,-0.5373510718345642
182,26.7,-0.010209434025455266,0.6126240212470293,-0.5427159387618303
183,26.62,-0.007741271474515088,0.6136217843741179,-0.5203129937872291
184,26.32,-0.010343989910325035,0.657027306035161,-0.5470758760347962
185,26.24,-0.00965884116885718,0.6373880505561829,-0.5445543732494116
186,26.2,-0.01084874855587259,0.6709472462534904,-0.5490053594112396
187,26.88,-0.01162094486062415,0.6497387494891882,-0.550212386995554
188,27.15,-0.00988418138877023,0.6556798629462719,-0.514014589600265
189,27.13,-0.010645476024365053,0.6168822087347507,-0.5431638695299625
190,27.48,-0.011210572425625287,0.6298427041620016,-0.5335895121097565
191,27.57,-0.009548524612910114,0.6451951712369919,-0.5371080376207829
192,27.53,-0.012663039902690798,0.6204056087881327,-0.5369510501623154
193,27.46,-0.012131230032537133,0.6495618131011724,-0.5602753348648548
194,27.66,-0.012627505813725293,0.6579546499997377,-0.58383908867836
195,27.5,-0.01084259757772088,0.6402371488511562,-0.5431831423193216
196,27.6,-0.011393201188184321,0.6097486205399036,-0.5401349067687988
197,27.5,-0.010638613952323794,0.643423130735755,-0.51012241281569
198,27.49,-0.010497590963495895,0.6362035851925611,-0.5140737285837531
199,27.92,-0.01221470584277995,0.6625738721340895,-0.5350178480148315
200,27.79,-0.01154134345415514,0.6555721592158079,-0.5401789471507072
201,27.72,-0.011801798973465338,0.6464237719774246,-0.5345015693455935
202,28.23,-0.012980164377950132,0.6509095691144466,-0.5440867338329554
203,28.28,-0.01158483573817648,0.663390627130866,-0.522253880277276
204,28.35,-0.010695960081648082,0.622638113796711,-0.5122964065521955
205,28.62,-0.011130497645353898,0.6046753562986851,-0.5053634643554688
206,28.87,-0.011198054562555626,0.6157663185149431,-0.48652324359863997
207,29.09,-0.010256882553221658,0.6657635755836964,-0.47959912940859795
208,29.12,-0.010221323755104095,0.6361316535621881,-0.5062010586261749
209,29.32,-0.013004808410187252,0.6505790837109089,-0.5184816950932145
210,29.54,-0.012064101902069524,0.6535654794424772,-0.5096529982984066
211,29.3,-0.010204292048001662,0.6797920428216457,-0.5194666311144829
212,29.6,-0.011434072017436847,0.630040505900979,-0.5009395834058523
213,29.69,-0.008594212325988337,0.5804275702685118,-0.48831592313945293
214,29.58,-0.00986645687953569,0.6041314210742712,-0.48799151461571455
215,29.61,-0.010806898906594142,0.6154907178133726,-0.499444916844368
216,29.62,-0.01334843659424223,0.6491998769342899,-0.5229297932237387
217,29.84,-0.012618174485396594,0.6728493943810463,-0.5172286164015532
218,29.68,-0.011958885443164036,0.6382597330957651,-0.4976269667968154
219,29.55,-0.010858781417482533,0.6549856849014759,-0.5094478074461222
220,29.6,-0.010714198702771682,0.6123519819229841,-0.4885939350351691
221,29.66,-0.010348744166549295,0.6030933018773794,-0.49603104777634144
222,29.79,-0.010820609197253361,0.6260644216090441,-0.46518611069768667
223,29.7,-0.010932762888842262,0.6213298738002777,-0.47140160109847784
224,29.96,-0.011020618534530513,0.6523577999323606,-0.5021110214293003
225,29.88,-0.013219366170233116,0.6368626803159714,-0.5069235311821103
226,29.85,-0.010975897050229833,0.6420425307005644,-0.4649545392021537
227,29.94,-0.012308769160881639,0.6218187287449837,-0.5015694787725806
228,29.8,-0.010369921219535172,0.6127202231436968,-0.47584969736635685
229,30.27,-0.008385388369788416,0.5846228953450918,-0.4925733329728246
230,30.23,-0.012893095830804668,0.5558654386550188,-0.48080067709088326
231,30.26,-0.011061750294174999,0.573876628652215,-0.4720389135181904
232,30.24,-0.009558762045344338,0.5815389100462198,-0.4535269057378173
233,30.36,-0.011331704852636904,0.6136555578559637,-0.46411928441375494
234,30.65,-0.012321120681008324,0.6152966171503067,-0.4652677970007062
235,30.87,-0.011604515675571747,0.6091257147490978,-0.47705191373825073
236,31.09,-0.010026072879554704,0.6109862551093102,-0.46114645432680845
237,30.97,-0.010369376439484768,0.612693602219224,-0.4549291180446744
238,31.26,-0.008498501279973425,0.5802653059363365,-0.437073040753603
239,31.17,-0.010519179399125278,0.5797240901738405,-0.4347212240099907
240,31.87,-0.011012524657417089,0.5749816689640284,-0.4408284220844507
241,31.72,-0.01119349998771213,0.6262404508888721,-0.424995182082057
242,31.78,-0.00980531080858782,0.6040254682302475,-0.43169126380234957
243,31.76,-0.010416124074254185,0.5730345491319895,-0.4303064774721861
244,32.27,-0.011495613754959777,0.6291866861283779,-0.47098339814692736
245,32.47,-0.00893845217069611,0.5966107342392206,-0.4748067148029804
246,32.78,-0.009230453841155395,0.6110751405358315,-0.47040086053311825
247,33.61,-0.00948420661734417,0.601350262761116,-0.47718398086726665
248,34.18,-0.011905985069461167,0.618322841823101,-0.5020088907331228
249,34.68,-0.011874892516061664,0.6097215376794338,-0.49335778411477804
250,34.85,-0.011713253305060789,0.5735387578606606,-0.46980676241219044
251,34.67,-0.00942367801326327,0.5829687789082527,-0.4607729893177748
252,35.0,-0.010145181498955935,0.5935497283935547,-0.4528346350416541
253,34.95,-0.010156920412555337,0.5953436624258757,-0.45354758854955435
254,35.23,-0.011516108177602291,0.587607204914093,-0.45073363929986954
255,35.45,-0.0101067780633457,0.612072167918086,-0.4494845410808921
256,35.3,-0.011362991877831519,0.6231170874089003,-0.47043374367058277
257,35.41,-0.009520925144897774,0.61765524931252,-0.44904823135584593
258,35.18,-0.00920298692653887,0.6098629757761955,-0.4557756781578064
259,35.61,-0.010789022751851007,0.5926805883646011,-0.45369435008615255
260,35.62,-0.010449689856613986,0.5963672250509262,-0.45161013025790453
261,35.47,-0.009796801052289084,0.5908936690539122,-0.4384305998682976
262,35.81,-0.010597192915156484,0.6236864048987627,-0.4584235465154052
263,35.95,-0.009055707603693008,0.6169191300868988,-0.4253794001415372
264,36.22,-0.007801189029123634,0.6336332187056541,-0.4722367823123932
265,36.51,-0.010982586172758602,0.6100181993097067,-0.4728684304282069
266,36.58,-0.009674718778114766,0.6190275102853775,-0.4306903164833784
267,36.5,-0.009921837758156471,0.607245771214366,-0.440369869582355
268,36.68,-0.012404581982991658,0.6193781644105911,-0.4412223566323519
269,37.16,-0.008990356349386275,0.6234308928251266,-0.44116091169416904
270,37.32,-0.011230443997192197,0.6553830970078707,-0.45726644434034824
271,37.59,-0.011280536506092176,0.6439393740147352,-0.4189328495413065
272,37.46,-0.011786063405452296,0.6459676884114742,-0.4527192721143365
273,37.31,-0.012112600699765608,0.6258117984980345,-0.43881735298782587
274,37.05,-0.010927234528935514,0.6338494513183832,-0.43867458403110504
275,36.95,-0.011211873847059906,0.6299488581717014,-0.45508723706007004
276,36.8,-0.011846767665701918,0.6355607118457556,-0.44446271751075983
277,36.96,-0.010044259033747949,0.6415568590164185,-0.4530301997438073
278,37.44,-0.012582241062773392,0.631091695278883,-0.43327067978680134
279,37.83,-0.010601152462186292,0.6363979987800121,-0.42188091203570366
280,37.93,-0.013133023487171158,0.6246365737169981,-0.4146365597844124
281,38.04,-0.011247947011725046,0.5983451418578625,-0.4208388812839985
282,39.0,-0.00691309294779785,0.6661003716289997,-0.4434460327029228
283,39.52,-0.011844971304526553,0.6020356956869364,-0.4261610535904765
284,39.7,-0.011411694198613986,0.6102590151131153,-0.42092703375965357
285,40.24,-0.010409942304249853,0.6419085878878832,-0.4278603559359908
286,40.37,-0.010672930802684277,0.5952160693705082,-0.4122774200513959
287,40.78,-0.008509755221894011,0.5920089390128851,-0.4186424259096384
288,40.93,-0.011347781983204186,0.571443872526288,-0.4429146219044924
289,41.12,-0.01252085315354634,0.6141361650079489,-0.4380121845752001
290,41.12,-0.011880694626597688,0.5925432853400707,-0.4218851486220956
291,41.0,-0.009617175004677847,0.6361431069672108,-0.4492986584082246
292,41.29,-0.013585413311375305,0.5956614594906569,-0.47714387346059084
293,41.54,-0.012799794203601778,0.6028873659670353,-0.47424676176160574
294,41.67,-0.012740352744003758,0.5884504038840532,-0.4759151330217719
295,41.77,-0.011600742291193455,0.6396445631980896,-0.4409802816808224
296,41.21,-0.01224426634144038,0.6277552116662264,-0.4442829815670848
297,41.17,-0.012140093676862307,0.6124297957867384,-0.46639829874038696
298,41.36,-0.011257942678639665,0.6174646094441414,-0.45739390049129725
299,41.48,-0.012456511496566236,0.6436380129307508,-0.46257526706904173
300,41.96,-0.010040403256425634,0.5964617505669594,-0.4859481733292341
301,42.07,-0.012724052794510499,0.6169063877314329,-0.4704860309138894
302,42.28,-0.013604018196929246,0.6122055947780609,-0.46154923737049103
303,42.44,-0.011559631151612848,0.6248992383480072,-0.4508286863565445
304,43.03,-0.010933835845207796,0.6246615760028362,-0.4697691388428211
305,43.2,-0.013080011209240183,0.6303511671721935,-0.473733713850379
306,42.46,-0.012892128608655185,0.5889355652034283,-0.44676049798727036
307,42.57,-0.01114813657477498,0.5949586257338524,-0.42704424262046814
308,41.55,-0.009594275150448084,0.5889539364725351,-0.4046978000551462
309,41.54,-0.01176865556044504,0.6063791271299124,-0.3982172552496195
310,41.44,-0.011306206288281828,0.6220986843109131,-0.38134153187274933
311,41.7,-0.009329429478384554,0.6056064963340759,-0.40656470600515604
312,41.9,-0.011483259382657707,0.6023981254547834,-0.4091337211430073
313,41.95,-0.01141407573595643,0.5892792455852032,-0.4048191988840699
314,42.08,-0.007827896522940136,0.6146318148821592,-0.41493342630565166
315,42.51,-0.00804443574452307,0.6295642610639334,-0.4165960829705
316,42.93,-0.010275708045810461,0.5459061283618212,-0.40470429603010416
317,43.07,-0.010612354177283123,0.5868049915879965,-0.4002699516713619
318,43.34,-0.009008140215883031,0.6205991953611374,-0.3979287585243583
319,43.33,-0.012254702800419182,0.6089341249316931,-0.4083671933040023
320,43.52,-0.010974173943395726,0.5834972020238638,-0.44158233143389225
321,43.4,-0.009328692394774407,0.5831809025257826,-0.42466250713914633
322,43.4,-0.011033477872842923,0.6080305445939302,-0.4375267084687948
323,43.46,-0.011455878731794655,0.591310553252697,-0.4359935577958822
324,43.46,-0.010580131463939324,0.6258955653756857,-0.43150526843965054
325,43.98,-0.011864993430208415,0.5718166902661324,-0.45660320948809385
326,44.73,-0.01375249496777542,0.5752382650971413,-0.43087322637438774
327,44.64,-0.008357083221198991,0.5889078322798014,-0.4143640771508217
328,44.82,-0.00974202889483422,0.6061534006148577,-0.4037471516057849
329,44.75,-0.009775117971003056,0.5756738390773535,-0.4090774394571781
330,45.09,-0.010568134166533127,0.5785453729331493,-0.41346260346472263
331,44.88,-0.012098005070583895,0.5969117768108845,-0.41412558127194643
332,44.93,-0.011133782492834143,0.5931617766618729,-0.4148139478638768
333,45.04,-0.013147427060175687,0.5937683898955584,-0.43384579569101334
334,45.19,-0.013361064047785476,0.6207665875554085,-0.41914480458945036
335,45.87,-0.010733887043897994,0.5758342370390892,-0.4242375083267689
336,46.19,-0.01380199205596,0.555297426879406,-0.4327244218438864
337,46.19,-0.011458244553068653,0.5853785797953606,-0.40619564428925514
338,47.32,-0.007871304886066355,0.6131490394473076,-0.4082771372050047
339,47.38,-0.00926815700950101,0.5242139846086502,-0.39456993993371725
340,47.26,-0.011634006834356114,0.5516679380089045,-0.4422977911308408
341,47.29,-0.012909498560475186,0.5818564631044865,-0.42539978865534067
342,47.39,-0.009352510125609115,0.5573209431022406,-0.4284326322376728
343,47.39,-0.010149312118301168,0.5914990101009607,-0.41361526027321815
344,47.56,-0.009615724498871714,0.584772776812315,-0.39705012645572424
345,47.67,-0.011716077380697243,0.5428750216960907,-0.4327207813039422
346,47.52,-0.010128326888661832,0.5374437663704157,-0.41978651471436024
347,47.4,-0.010520794574404135,0.5947416555136442,-0.38030811306089163
348,47.45,-0.011530772411788348,0.5754383355379105,-0.3686434393748641
349,47.3,-0.010573328385362402,0.5361788924783468,-0.3669441491365433
350,47.48,-0.010485583043191582,0.5625109691172838,-0.3891226779669523
351,47.68,-0.01227776805171743,0.5789523664861917,-0.39192898105829954
352,48.23,-0.010848374076886103,0.5708017628639936,-0.40232296008616686
353,47.91,-0.009562745253788307,0.5495484489947557,-0.39546126313507557
354,48.26,-0.011150952632306144,0.5687133334577084,-0.40354725904762745
355,48.18,-0.01163955611991696,0.541550612077117,-0.38838127348572016
