iteration,episode,policy,value,entropy
0,0,-0.0015674408423365094,0.08110446418868378,-2.8889416828751564
1,12,-0.00201519978872966,0.04950927128084004,-2.887049373239279
2,34,-0.0020959150642738678,0.04142857133410871,-2.8808469586074352
3,58,-0.002076243828923907,0.04602004308253527,-2.8792987503111362
4,73,-0.003248233890190022,0.040036701364442706,-2.8637016117572784
5,90,-0.004148682521190494,0.03305695895687677,-2.854644864797592
6,100,-0.004297793195291888,0.027839024958666414,-2.853704337030649
7,100,-0.003997790532594081,0.021855076076462865,-2.8458409756422043
8,100,-0.003948589557694504,0.010090610972838476,-2.8393860273063183
9,100,-0.004078872378158849,0.009218514256644994,-2.842740025371313
10,100,-0.002048744703643024,0.004826142823731061,-2.8256752900779247
11,100,-0.0038360777507477906,0.0012854348310611385,-2.8154366202652454
12,100,-0.0029496334318537265,0.0004762643882258999,-2.8072405122220516
13,100,-0.0021537676148000173,0.0007595434519771516,-2.8040321320295334
14,100,-0.0025290553967352025,0.000538024932893677,-2.8094564490020275
15,100,-0.00036464684671955183,0.0001258731135180824,-2.81051854416728
16,100,-0.001353656298306305,6.519792543713265e-05,-2.800234854221344
17,100,-0.0011955802619922906,0.000502521533462641,-2.8076853193342686
18,100,-0.0013370810120250098,4.267716916217523e-05,-2.7925320118665695
19,100,-0.0024304821563418955,2.125196549229713e-05,-2.793188948184252
20,100,-0.0024391903934883885,2.1586030484854746e-05,-2.797647040337324
21,100,-0.0015065600637171883,1.5724404271111325e-05,-2.7974547781050205
22,100,-0.003120139859674964,1.118997465709981e-05,-2.8040808252990246
23,100,-0.0017645353254920337,8.242577621331293e-06,-2.8013027384877205
24,100,-0.002410106062598061,7.593686660811727e-06,-2.807977244257927
25,100,-0.002380221190833254,0.00034705183486494207,-2.809475429356098
26,100,-0.0019304917514091358,1.0715923849602405e-05,-2.8140905871987343
27,100,-0.0029116373116266914,4.237073653712287e-06,-2.8264605328440666
28,100,-0.0019605907655204646,2.829168373352786e-06,-2.8209500275552273
29,100,-0.0014597886438423302,0.0004178979272921879,-2.8081370294094086
30,100,-0.003751717507839203,1.0939722834280019e-05,-2.814201310276985
31,100,-0.0008927036033128388,0.0005334200957349822,-2.824742492288351
32,100,-0.002779074144200422,1.5903849245546553e-05,-2.808498054742813
33,100,-0.0017584132874617353,7.519892555762908e-06,-2.8161846324801445
34,100,-0.0018683659873204306,4.53174161663128e-06,-2.804072078317404
35,100,-0.0020672105529229157,4.30226534575695e-06,-2.8055792413651943
36,100,-0.0017493340183136752,6.606125843688915e-06,-2.812708392739296
37,100,-0.0028468024320318364,4.4052094985147505e-06,-2.813197024166584
38,100,-0.0023109082321752794,4.494014568479088e-06,-2.815032195299864
39,100,-0.002879904735891614,2.967835019518361e-06,-2.8169068545103073
40,100,-0.0033010652696248144,1.7994471157578573e-06,-2.818151868879795
41,100,-0.001583728939294815,0.0004537719762112147,-2.8261626549065113
42,100,-0.0026388674305053428,3.63198986548241e-05,-2.805417075753212
43,100,-0.0017567907634656876,0.0002927602399438456,-2.809933077543974
