iteration,episode,avg_score,best_score,best_avg_score
2,1,187.0,187.0,187.0
3,20,208.5,327.0,208.5
4,30,239.0,357.0,239.0
5,31,255.70967741935485,757.0,255.70967741935485
6,39,256.4871794871795,757.0,256.4871794871795
7,52,248.15384615384616,757.0,256.4871794871795
8,61,250.7704918032787,757.0,256.4871794871795
9,65,251.0,757.0,256.4871794871795
10,72,250.05555555555554,757.0,256.4871794871795
11,85,250.52941176470588,757.0,256.4871794871795
12,93,256.89247311827955,757.0,256.89247311827955
13,95,257.0,757.0,257.0
14,102,259.5,757.0,259.5
15,115,271.4,797.0,271.4
16,120,273.7,797.0,273.7
17,127,277.3,797.0,277.3
18,136,272.7,797.0,277.3
19,147,278.9,797.0,278.9
20,150,280.6,797.0,280.6
21,155,290.6,877.0,290.6
22,162,290.4,877.0,290.6
23,176,296.4,877.0,296.4
24,181,308.2,927.0,308.2
25,184,309.9,927.0,309.9
26,191,310.2,927.0,310.2
27,202,323.6,1007.0,323.6
28,210,340.9,1007.0,340.9
29,215,344.5,1007.0,344.5
30,224,339.7,1007.0,344.5
31,231,337.4,1007.0,344.5
32,240,337.6,1007.0,344.5
33,247,344.9,1007.0,344.9
34,253,335.2,1007.0,344.9
35,261,334.4,1007.0,344.9
36,269,340.8,1027.0,344.9
37,276,348.5,1027.0,348.5
38,283,346.9,1037.0,348.5
39,289,343.6,1037.0,348.5
40,300,346.6,1037.0,348.5
41,304,330.1,1037.0,348.5
42,312,329.2,1037.0,348.5
43,319,331.4,1037.0,348.5
44,328,337.3,1037.0,348.5
45,333,348.4,1037.0,348.5
46,342,351.0,1037.0,351.0
47,348,350.3,1037.0,351.0
48,354,365.6,1967.0,365.6
49,360,375.5,1967.0,375.5
50,369,374.0,1967.0,375.5
51,376,381.7,1967.0,381.7
52,381,380.4,1967.0,381.7
53,390,398.6,1967.0,398.6
54,395,407.4,1967.0,407.4
55,401,409.2,1967.0,409.2
56,416,419.7,1967.0,419.7
57,420,419.8,1967.0,419.8
58,424,422.6,1967.0,422.6
59,432,420.3,1967.0,422.6
60,438,421.7,1967.0,422.6
61,445,441.2,1967.0,441.2
62,452,468.2,1967.0,468.2
63,457,457.8,1967.0,468.2
64,464,464.2,1967.0,468.2
65,471,475.6,1967.0,475.6
66,475,489.1,1967.0,489.1
67,483,513.3,1967.0,513.3
68,487,526.2,1977.0,526.2
69,497,545.6,1977.0,545.6
70,501,564.5,1977.0,564.5
71,510,585.4,1977.0,585.4
72,517,591.3,1977.0,591.3
73,524,606.9,1977.0,606.9
74,531,617.2,1977.0,617.2
75,532,617.2,1977.0,617.2
76,543,639.7,1977.0,639.7
77,552,638.3,1977.0,639.7
78,556,649.4,1977.0,649.4
79,562,656.6,1977.0,656.6
80,567,662.6,1977.0,662.6
81,574,664.3,1977.0,664.3
82,580,661.4,1977.0,664.3
83,587,643.8,1977.0,664.3
84,594,643.3,1977.0,664.3
85,597,637.8,1977.0,664.3
86,605,629.3,1977.0,664.3
87,615,654.3,1977.0,664.3
88,622,663.1,1977.0,664.3
89,627,671.6,1977.0,671.6
90,635,671.5,1977.0,671.6
91,639,668.9,1977.0,671.6
92,647,683.3,1977.0,683.3
93,652,693.7,1977.0,693.7
94,660,699.4,2467.0,699.4
95,669,703.6,2467.0,703.6
96,675,696.1,2467.0,703.6
97,680,692.6,2467.0,703.6
98,686,701.2,2467.0,703.6
99,695,701.2,2467.0,703.6
100,704,687.2,2467.0,703.6
101,709,691.2,2467.0,703.6
102,712,688.2,2467.0,703.6
103,721,665.5,2467.0,703.6
104,728,683.6,2467.0,703.6
105,737,737.9,3887.0,737.9
106,742,734.0,3887.0,737.9
107,748,730.6,3887.0,737.9
108,752,732.8,3887.0,737.9
109,763,710.9,3887.0,737.9
110,770,739.4,3887.0,739.4
111,771,742.2,3887.0,742.2
112,778,745.9,3887.0,745.9
113,787,737.1,3887.0,745.9
114,795,760.6,3887.0,760.6
115,802,772.0,3887.0,772.0
116,808,781.3,3887.0,781.3
117,813,780.7,3887.0,781.3
118,821,804.5,3887.0,804.5
119,829,813.1,3887.0,813.1
120,835,755.0,3887.0,813.1
121,839,761.6,3887.0,813.1
122,846,783.0,3887.0,813.1
123,855,775.6,3887.0,813.1
124,863,793.0,3887.0,813.1
125,869,778.7,3887.0,813.1
126,874,784.3,3887.0,813.1
127,877,784.0,3887.0,813.1
128,889,803.6,3887.0,813.1
129,898,804.4,3887.0,813.1
130,904,817.5,3887.0,817.5
131,909,809.9,3887.0,817.5
132,916,806.5,3887.0,817.5
133,923,804.8,3887.0,817.5
134,928,799.1,3887.0,817.5
135,936,813.0,3887.0,817.5
136,944,797.2,3887.0,817.5
137,948,808.0,3887.0,817.5
138,951,811.9,3887.0,817.5
139,960,808.0,3887.0,817.5
140,967,817.3,3887.0,817.5
141,974,817.5,3887.0,817.5
142,977,833.9,3887.0,833.9
143,985,830.8,3887.0,833.9
144,992,847.7,3887.0,847.7
145,999,843.1,3887.0,847.7
146,1005,854.2,3887.0,854.2
147,1014,882.3,3887.0,882.3
148,1017,885.3,3887.0,885.3
149,1023,882.9,3887.0,885.3
150,1031,861.3,3887.0,885.3
151,1040,852.6,3887.0,885.3
152,1045,850.8,3887.0,885.3
153,1050,850.2,3887.0,885.3
154,1055,841.6,3887.0,885.3
155,1065,843.8,3887.0,885.3
156,1072,857.9,3887.0,885.3
157,1074,858.1,3887.0,885.3
158,1081,858.3,3887.0,885.3
159,1084,867.6,3887.0,885.3
160,1089,855.2,3887.0,885.3
161,1101,874.9,3887.0,885.3
162,1107,868.4,3887.0,885.3
163,1113,872.0,3887.0,885.3
164,1121,870.8,3887.0,885.3
165,1125,881.9,3887.0,885.3
166,1131,887.2,3887.0,887.2
167,1136,902.1,3887.0,902.1
168,1145,905.3,3887.0,905.3
169,1149,904.8,3887.0,905.3
170,1154,910.6,3887.0,910.6
171,1159,919.5,3887.0,919.5
172,1165,927.4,3887.0,927.4
173,1171,923.7,3887.0,927.4
174,1175,929.0,3887.0,929.0
175,1183,932.7,3887.0,932.7
176,1188,932.5,3887.0,932.7
177,1194,915.0,3887.0,932.7
178,1199,923.3,3887.0,932.7
179,1206,935.0,3887.0,935.0
180,1213,927.8,3887.0,935.0
181,1221,925.3,3887.0,935.0
182,1224,931.1,3887.0,935.0
183,1230,933.0,3887.0,935.0
184,1235,931.2,3887.0,935.0
185,1239,948.9,3887.0,948.9
186,1250,964.3,3887.0,964.3
187,1255,980.3,3887.0,980.3
188,1262,974.3,3887.0,980.3
189,1265,981.4,3887.0,981.4
190,1270,974.0,3887.0,981.4
191,1271,970.8,3887.0,981.4
192,1284,971.9,3887.0,981.4
193,1289,971.2,3887.0,981.4
194,1296,965.2,3887.0,981.4
195,1301,945.7,3887.0,981.4
196,1308,928.3,3887.0,981.4
197,1310,928.6,3887.0,981.4
198,1317,944.7,3887.0,981.4
199,1328,955.3,3887.0,981.4
200,1330,959.3,3887.0,981.4
201,1338,944.1,3887.0,981.4
202,1344,935.6,3887.0,981.4
203,1351,910.8,3887.0,981.4
204,1357,903.5,3887.0,981.4
205,1363,893.7,3887.0,981.4
206,1365,891.2,3887.0,981.4
207,1374,897.9,3887.0,981.4
208,1381,900.6,3887.0,981.4
209,1386,911.7,3887.0,981.4
210,1394,919.3,3887.0,981.4
211,1398,920.2,3887.0,981.4
212,1407,923.0,3887.0,981.4
213,1410,921.3,3887.0,981.4
214,1413,909.8,3887.0,981.4
215,1422,896.3,3887.0,981.4
216,1428,906.8,3887.0,981.4
217,1433,920.1,3887.0,981.4
218,1440,904.3,3887.0,981.4
219,1444,920.4,3887.0,981.4
220,1448,928.3,3887.0,981.4
221,1455,938.7,3887.0,981.4
222,1463,988.6,3887.0,988.6
223,1468,994.0,3887.0,994.0
224,1474,1006.8,3887.0,1006.8
225,1479,1024.0,3887.0,1024.0
226,1486,1003.8,3887.0,1024.0
227,1491,1001.7,3887.0,1024.0
228,1501,1032.8,3887.0,1032.8
229,1507,1038.1,3887.0,1038.1
230,1512,1058.0,3887.0,1058.0
231,1518,1060.1,3887.0,1060.1
232,1526,1064.6,3887.0,1064.6
233,1530,1057.4,3887.0,1064.6
234,1533,1060.7,3887.0,1064.6
235,1538,1072.1,3887.0,1072.1
236,1546,1070.4,3887.0,1072.1
237,1554,1103.6,3887.0,1103.6
238,1559,1099.0,3887.0,1103.6
239,1562,1090.4,3887.0,1103.6
240,1570,1088.0,3887.0,1103.6
241,1574,1092.1,3887.0,1103.6
242,1584,1083.6,3887.0,1103.6
243,1586,1090.5,3887.0,1103.6
244,1591,1085.0,3887.0,1103.6
